Laporan_Improvement,Respons_Improvement,TP_Improvement,Laporan_EarlyMean,Laporan_LateMean,Respons_EarlyMean,Respons_LateMean,TP_EarlyMean,TP_LateMean,Overall_Consistency,Overall_Recent_Mean,Overall_Trend,Performance_Mean,Laporan_Mean,Respons_Mean,TP_Mean,Laporan_Std,Respons_Std,TP_Std,Laporan_Completion_Rate,Attendance_PreFinal_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
11.5,-40.75,3.25,76.5,88.0,84.75,44.0,84.75,88.0,0.046257215553473466,80.0,1.5,79.57894736842105,81.42857142857143,71.16666666666667,85.83333333333333,13.58683336235219,31.850780559072994,1.5723301886761007,0.875,0.875,1,Kompeten,60200125001,A,UNIFIED
14.625,-17.5,14.5,66.875,81.5,61.5,44.0,71.5,86.0,0.034967971598337616,65.0,-13.083333333333329,68.63157894736842,73.14285714285714,55.666666666666664,76.33333333333333,16.55017109474419,39.53760516549051,16.669999666733318,0.875,0.625,0,Belum Kompeten,60200125006,A,UNIFIED
6.625,2.25,2.25,80.875,87.5,84.75,87.0,84.75,87.0,0.16171784798600064,80.0,-3.8333333333333286,84.84210526315789,83.71428571428571,85.5,85.5,7.572776160399184,2.8136571693556887,2.8136571693556887,0.875,1.0,1,Kompeten,60200125007,A,UNIFIED
2.0416666666666714,-11.0,3.25,85.125,87.16666666666667,42.0,31.0,72.25,75.5,0.030842499503772238,80.0,-4.333333333333329,66.94736842105263,86.0,38.333333333333336,73.33333333333333,3.5355339059327378,39.09674609933102,17.336538165261125,0.875,0.75,1,Kompeten,60200125016,A,UNIFIED
0.9166666666666679,-20.0,-20.0,20.75,21.666666666666668,20.0,0.0,20.0,0.0,0.030715268574783804,65.0,24.5,16.210526315789473,21.142857142857142,13.333333333333334,13.333333333333334,33.77415990888627,29.8142396999972,29.8142396999972,0.25,0.625,0,Belum Kompeten,60200125017,A,UNIFIED
18.45833333333333,42.75,22.75,68.375,86.83333333333333,40.75,83.5,60.75,83.5,0.0343832354543507,80.0,2.8333333333333286,67.05263157894737,76.28571428571429,55.0,68.33333333333333,16.928119342968845,38.91015291668744,20.07209228976613,0.875,0.8125,1,Kompeten,60200125031,A,UNIFIED
-10.583333333333329,-10.75,-10.5,84.75,74.16666666666667,84.75,74.0,84.75,74.25,0.10556375185476642,65.0,-19.83333333333333,80.84210526315789,80.21428571428571,81.16666666666667,81.25,9.463679225850585,7.797791710193057,7.830229881682913,0.875,0.875,1,Kompeten,60200125032,A,UNIFIED
4.916666666666671,22.75,1.5,86.25,91.16666666666667,63.75,86.5,85.0,86.5,0.04847867223450327,90.0,4.833333333333329,82.07894736842105,88.35714285714286,71.33333333333333,85.5,2.924212784351246,32.05030767749699,3.095695936834452,0.875,1.0,1,Kompeten,60200125033,A,UNIFIED
11.166666666666671,10.75,-12.0,76.5,87.66666666666667,63.75,74.5,86.5,74.5,0.047890866443321654,80.0,10.5,77.26315789473684,81.28571428571429,67.33333333333333,82.5,9.361231385946216,30.804040139061126,7.455423082115014,0.875,0.875,1,Kompeten,60200125034,A,UNIFIED
11.25,20.75,-0.5,76.25,87.5,66.25,87.0,87.5,87.0,0.047354427397705824,80.0,-5.166666666666671,80.55263157894737,81.07142857142857,73.16666666666667,87.33333333333333,9.351961488023216,32.774058169364515,2.1343747458109497,0.875,1.0,1,Kompeten,60200125049,A,UNIFIED
-4.791666666666671,-19.0,3.75,86.125,81.33333333333333,63.0,44.0,83.25,87.0,0.03642261265866639,65.0,-18.66666666666667,75.55263157894737,84.07142857142857,56.666666666666664,84.5,8.006375010972603,40.14418457953226,2.9297326385411577,0.875,0.875,1,Kompeten,60200125050,A,UNIFIED
14.833333333333329,3.25,3.25,70.5,85.33333333333333,82.75,86.0,82.75,86.0,0.10280234524565139,80.0,2.1666666666666714,81.26315789473684,76.85714285714286,83.83333333333333,83.83333333333333,12.930347155085219,2.266911751455907,2.266911751455907,0.875,1.0,0,Belum Kompeten,60200125053,A,UNIFIED
5.25,-11.75,-11.75,81.75,87.0,85.75,74.0,85.75,74.0,0.11600010468672745,80.0,-3.9166666666666714,82.63157894736842,84.0,81.83333333333333,81.83333333333333,7.5687326736854885,7.536946036396675,7.536946036396675,0.875,1.0,1,Kompeten,60200125074,A,UNIFIED
2.2083333333333286,-17.75,6.25,84.125,86.33333333333333,60.75,43.0,80.75,87.0,0.03723212327578949,80.0,12.5,74.8157894736842,85.07142857142857,54.833333333333336,82.83333333333333,3.4061768621618183,38.82617959859329,3.1841621957571333,0.875,0.8125,1,Kompeten,60200125075,A,UNIFIED
11.083333333333329,-40.5,-20.5,76.25,87.33333333333333,84.0,43.5,84.0,63.5,0.04478199250151376,80.0,0.9166666666666714,76.47368421052632,81.0,70.5,77.16666666666667,9.411239481143202,31.58454263296104,16.727389382553262,0.875,0.875,1,Kompeten,60200125078,A,UNIFIED
24.0,20.75,13.25,69.0,93.0,63.25,84.0,73.25,86.5,0.040787367519141325,95.0,13.666666666666671,75.89473684210526,79.28571428571429,70.16666666666667,77.66666666666667,18.66214109377811,31.5722275988812,17.288403306519918,0.875,0.875,1,Kompeten,60200125099,A,UNIFIED
5.75,-9.25,-6.75,80.25,86.0,83.75,74.5,83.75,77.0,0.12092426863062865,80.0,-1.9166666666666714,81.6842105263158,82.71428571428571,80.66666666666667,81.5,6.734013571081529,7.180219742846005,7.783529619223745,0.875,1.0,0,Belum Kompeten,60200125100,A,UNIFIED
5.75,0.5,0.5,81.25,87.0,85.5,86.0,85.5,86.0,0.16891498632139515,80.0,-4.083333333333329,84.94736842105263,83.71428571428571,85.66666666666667,85.66666666666667,7.410692771053107,2.2110831935702664,2.2110831935702664,0.875,1.0,1,Kompeten,60200125101,A,UNIFIED
5.666666666666671,-9.125,-9.125,81.0,86.66666666666667,84.625,75.5,84.625,75.5,0.126424057480399,80.0,-2.25,82.26315789473684,83.42857142857143,81.58333333333333,81.58333333333333,7.168525308739645,6.660935036130855,6.660935036130855,0.875,1.0,1,Kompeten,60200125114,A,UNIFIED
-9.333333333333332,-20.75,-20.75,31.0,21.666666666666668,60.75,40.0,60.75,40.0,0.025211885221766015,65.0,-4.0,43.94736842105263,27.0,53.833333333333336,53.833333333333336,33.33380952040821,38.12443077899292,38.12443077899292,0.375,0.75,0,Belum Kompeten,60200125116,A,UNIFIED
7.416666666666671,1.25,1.25,80.25,87.66666666666667,82.75,84.0,82.75,84.0,0.17349628699819117,80.0,-1.0,83.26315789473684,83.42857142857143,83.16666666666667,83.16666666666667,7.645860558071236,1.3437096247164249,1.3437096247164249,0.875,1.0,1,Kompeten,60200125117,A,UNIFIED
21.666666666666668,0.0,0.0,0.0,21.666666666666668,0.0,0.0,0.0,0.0,0.06445667466332382,65.0,65.0,3.4210526315789473,9.285714285714286,0.0,0.0,22.745261897272368,0.0,0.0,0.125,0.5,0,Belum Kompeten,60200125118,A,UNIFIED
