Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
1.0,85.4,85.4,79.5,1.0,1.0,1.0,1,Kompeten,60200125001,A,UNIFIED
0.8,74.0,49.2,71.5,1.0,0.6,1.0,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,85.0,85.0,83.2,1.0,1.0,1.0,1,Kompeten,60200125007,A,UNIFIED
0.6,70.2,46.0,86.1,1.0,0.6,1.0,1,Kompeten,60200125016,A,UNIFIED
0.7,16.0,16.0,16.6,0.2,0.2,0.2,0,Belum Kompeten,60200125017,A,UNIFIED
0.7,65.2,49.2,72.9,1.0,0.6,1.0,1,Kompeten,60200125031,A,UNIFIED
1.0,80.6,80.6,81.1,1.0,1.0,1.0,1,Kompeten,60200125032,A,UNIFIED
1.0,85.0,68.0,87.5,1.0,0.8,1.0,1,Kompeten,60200125033,A,UNIFIED
0.8,82.6,64.4,79.7,1.0,0.8,1.0,1,Kompeten,60200125034,A,UNIFIED
1.0,87.2,70.2,79.2,1.0,0.8,1.0,1,Kompeten,60200125049,A,UNIFIED
1.0,83.8,68.0,86.7,1.0,0.8,1.0,1,Kompeten,60200125050,A,UNIFIED
1.0,83.0,83.0,73.6,1.0,1.0,1.0,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,81.8,81.8,83.5,1.0,1.0,1.0,1,Kompeten,60200125074,A,UNIFIED
0.8,81.8,65.8,85.0,1.0,0.8,1.0,1,Kompeten,60200125075,A,UNIFIED
1.0,84.6,84.6,79.3,1.0,1.0,1.0,1,Kompeten,60200125078,A,UNIFIED
0.8,75.4,67.4,73.7,1.0,0.8,1.0,1,Kompeten,60200125099,A,UNIFIED
1.0,80.0,80.0,81.7,1.0,1.0,1.0,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.2,85.2,83.1,1.0,1.0,1.0,1,Kompeten,60200125101,A,UNIFIED
1.0,81.1,81.1,82.9,1.0,1.0,1.0,1,Kompeten,60200125114,A,UNIFIED
0.8,48.6,48.6,24.8,0.6,0.6,0.4,0,Belum Kompeten,60200125116,A,UNIFIED
1.0,83.0,83.0,82.3,1.0,1.0,1.0,1,Kompeten,60200125117,A,UNIFIED
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125118,A,UNIFIED
0.6,51.0,51.0,43.4,0.6,0.6,0.6,1,Kompeten,60200125119,A,UNIFIED
1.0,85.0,67.6,84.7,1.0,0.8,1.0,1,Kompeten,60200125120,A,UNIFIED
0.8,68.2,68.2,59.6,0.8,0.8,0.8,1,Kompeten,60200125121,A,UNIFIED
1.0,80.6,80.6,82.1,1.0,1.0,1.0,1,Kompeten,60200125122,A,UNIFIED
0.9,73.6,65.6,77.9,1.0,0.8,1.0,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,85.0,85.0,82.3,1.0,1.0,1.0,1,Kompeten,60200125151,A,UNIFIED
0.8,50.2,50.2,34.7,0.6,0.6,0.4,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,82.4,82.4,89.1,1.0,1.0,1.0,1,Kompeten,60200125154,A,UNIFIED
1.0,86.8,86.8,68.2,1.0,1.0,1.0,1,Kompeten,60200125009,B,UNIFIED
1.0,89.8,89.8,87.8,1.0,1.0,1.0,1,Kompeten,60200125019,B,UNIFIED
1.0,92.0,92.0,88.8,1.0,1.0,1.0,1,Kompeten,60200125020,B,UNIFIED
1.0,90.2,90.2,87.5,1.0,1.0,1.0,1,Kompeten,60200125021,B,UNIFIED
1.0,73.2,73.2,60.6,0.8,0.8,1.0,1,Kompeten,60200125035,B,UNIFIED
1.0,92.4,92.4,57.2,1.0,1.0,1.0,0,Belum Kompeten,60200125036,B,UNIFIED
0.8,76.0,76.0,51.7,0.8,0.8,1.0,1,Kompeten,60200125048,B,UNIFIED
1.0,88.4,88.4,69.5,1.0,1.0,1.0,1,Kompeten,60200125055,B,UNIFIED
1.0,86.8,86.8,68.4,1.0,1.0,1.0,1,Kompeten,60200125056,B,UNIFIED
1.0,87.8,87.8,32.8,1.0,1.0,0.6,1,Kompeten,60200125057,B,UNIFIED
0.8,88.4,88.4,88.3,1.0,1.0,1.0,1,Kompeten,60200125058,B,UNIFIED
0.8,92.4,92.4,68.2,1.0,1.0,0.8,1,Kompeten,60200125072,B,UNIFIED
0.6,20.0,20.0,60.8,0.2,0.2,1.0,1,Kompeten,60200125094,B,UNIFIED
0.8,76.0,76.0,86.0,0.8,0.8,1.0,1,Kompeten,60200125096,B,UNIFIED
1.0,74.0,74.0,87.8,0.8,0.8,1.0,1,Kompeten,60200125103,B,UNIFIED
1.0,86.6,86.6,88.4,1.0,1.0,1.0,1,Kompeten,60200125104,B,UNIFIED
1.0,89.4,89.4,86.6,1.0,1.0,1.0,1,Kompeten,60200125113,B,UNIFIED
0.8,90.0,90.0,66.4,1.0,1.0,1.0,1,Kompeten,60200125115,B,UNIFIED
0.8,90.8,90.8,88.5,1.0,1.0,1.0,1,Kompeten,60200125123,B,UNIFIED
0.6,15.0,15.0,0.0,0.2,0.2,0.0,1,Kompeten,60200125124,B,UNIFIED
0.8,92.8,92.8,58.6,1.0,1.0,1.0,1,Kompeten,60200125126,B,UNIFIED
0.8,52.0,52.0,51.2,0.6,0.6,0.6,0,Belum Kompeten,60200125127,B,UNIFIED
1.0,92.0,92.0,50.3,1.0,1.0,1.0,1,Kompeten,60200125128,B,UNIFIED
0.8,89.6,89.6,52.2,1.0,1.0,0.8,1,Kompeten,60200125129,B,UNIFIED
1.0,91.2,91.2,60.8,1.0,1.0,1.0,1,Kompeten,60200125155,B,UNIFIED
1.0,82.6,82.6,86.2,1.0,1.0,1.0,1,Kompeten,60200125010,C,UNIFIED
1.0,84.8,67.6,85.7,1.0,0.8,1.0,1,Kompeten,60200125011,C,UNIFIED
1.0,82.4,82.4,84.25,1.0,1.0,1.0,1,Kompeten,60200125022,C,UNIFIED
1.0,85.2,85.2,83.9,1.0,1.0,1.0,0,Belum Kompeten,60200125023,C,UNIFIED
1.0,85.8,82.0,84.6,1.0,1.0,1.0,1,Kompeten,60200125024,C,UNIFIED
1.0,82.4,65.6,75.8,1.0,0.8,1.0,0,Belum Kompeten,60200125038,C,UNIFIED
0.8,86.8,86.8,84.3,1.0,1.0,1.0,1,Kompeten,60200125039,C,UNIFIED
1.0,83.2,64.8,85.2,1.0,0.8,1.0,1,Kompeten,60200125040,C,UNIFIED
1.0,79.4,79.4,84.2,1.0,1.0,1.0,0,Belum Kompeten,60200125046,C,UNIFIED
0.6,75.2,51.2,75.7,1.0,0.6,1.0,0,Belum Kompeten,60200125059,C,UNIFIED
1.0,75.7,80.0,80.6,1.0,1.0,1.0,1,Kompeten,60200125060,C,UNIFIED
0.9,86.6,65.6,85.7,1.0,0.8,1.0,1,Kompeten,60200125062,C,UNIFIED
1.0,87.8,87.8,85.05,1.0,1.0,1.0,1,Kompeten,60200125083,C,UNIFIED
0.6,72.3,47.2,84.0,1.0,0.6,1.0,0,Belum Kompeten,60200125084,C,UNIFIED
0.8,86.4,86.4,85.1,1.0,1.0,1.0,0,Belum Kompeten,60200125085,C,UNIFIED
1.0,81.2,82.4,79.74,1.0,1.0,1.0,0,Belum Kompeten,60200125086,C,UNIFIED
1.0,85.8,85.8,85.0,1.0,1.0,1.0,1,Kompeten,60200125087,C,UNIFIED
1.0,85.4,85.4,85.4,1.0,1.0,1.0,1,Kompeten,60200125105,C,UNIFIED
1.0,86.2,86.2,84.7,1.0,1.0,1.0,0,Belum Kompeten,60200125107,C,UNIFIED
0.6,64.6,64.6,82.9,0.8,0.8,1.0,0,Belum Kompeten,60200125131,C,UNIFIED
0.6,84.2,67.8,81.3,1.0,0.8,1.0,1,Kompeten,60200125132,C,UNIFIED
0.8,81.6,81.6,83.7,1.0,1.0,1.0,1,Kompeten,60200125133,C,UNIFIED
1.0,84.8,84.6,80.4,1.0,1.0,1.0,0,Belum Kompeten,60200125137,C,UNIFIED
1.0,85.8,85.8,80.0,1.0,1.0,1.0,1,Kompeten,60200125156,C,UNIFIED
1.0,92.4,92.4,60.3,1.0,1.0,0.8,1,Kompeten,60200125004,D,UNIFIED
1.0,72.4,72.4,52.2,0.8,0.8,1.0,1,Kompeten,60200125013,D,UNIFIED
1.0,93.6,93.6,66.8,1.0,1.0,1.0,1,Kompeten,60200125026,D,UNIFIED
1.0,73.4,73.4,69.1,0.8,0.8,1.0,1,Kompeten,60200125027,D,UNIFIED
1.0,92.4,92.4,60.8,1.0,1.0,0.8,1,Kompeten,60200125030,D,UNIFIED
1.0,90.2,90.2,59.2,1.0,1.0,1.0,1,Kompeten,60200125041,D,UNIFIED
1.0,93.0,93.0,68.7,1.0,1.0,1.0,1,Kompeten,60200125064,D,UNIFIED
1.0,92.6,92.6,68.6,1.0,1.0,1.0,1,Kompeten,60200125066,D,UNIFIED
1.0,89.0,89.0,86.8,1.0,1.0,1.0,1,Kompeten,60200125067,D,UNIFIED
0.8,92.0,92.0,51.5,1.0,1.0,1.0,0,Belum Kompeten,60200125068,D,UNIFIED
1.0,72.4,72.4,58.5,0.8,0.8,1.0,1,Kompeten,60200125071,D,UNIFIED
1.0,93.6,93.6,42.2,1.0,1.0,0.8,1,Kompeten,60200125076,D,UNIFIED
1.0,93.4,93.4,68.3,1.0,1.0,1.0,1,Kompeten,60200125082,D,UNIFIED
1.0,73.2,73.2,61.1,0.8,0.8,1.0,1,Kompeten,60200125089,D,UNIFIED
1.0,93.4,93.4,68.3,1.0,1.0,1.0,1,Kompeten,60200125090,D,UNIFIED
1.0,89.2,89.2,69.0,1.0,1.0,1.0,1,Kompeten,60200125093,D,UNIFIED
1.0,93.0,93.0,70.1,1.0,1.0,1.0,1,Kompeten,60200125108,D,UNIFIED
1.0,72.0,72.0,69.4,0.8,0.8,1.0,0,Belum Kompeten,60200125109,D,UNIFIED
0.8,93.4,93.4,68.4,1.0,1.0,1.0,1,Kompeten,60200125110,D,UNIFIED
1.0,87.4,87.4,0.0,1.0,1.0,0.0,1,Kompeten,60200125138,D,UNIFIED
1.0,89.6,89.6,58.6,1.0,1.0,1.0,1,Kompeten,60200125139,D,UNIFIED
1.0,93.0,93.0,69.1,1.0,1.0,1.0,1,Kompeten,60200125140,D,UNIFIED
1.0,90.4,90.4,61.5,1.0,1.0,1.0,1,Kompeten,60200125141,D,UNIFIED
0.8,88.8,88.8,52.1,1.0,1.0,0.8,1,Kompeten,60200125143,D,UNIFIED
1.0,93.8,93.8,61.7,1.0,1.0,1.0,1,Kompeten,60200125144,D,UNIFIED
1.0,87.8,87.8,35.4,1.0,1.0,0.4,0,Belum Kompeten,60200125005,E,UNIFIED
0.8,60.0,60.0,70.0,0.6,0.6,1.0,1,Kompeten,60200125014,E,UNIFIED
1.0,89.4,89.4,53.0,1.0,1.0,0.6,1,Kompeten,60200125015,E,UNIFIED
1.0,92.0,92.0,84.2,1.0,1.0,1.0,1,Kompeten,60200125028,E,UNIFIED
1.0,89.4,89.4,53.0,1.0,1.0,0.6,1,Kompeten,60200125029,E,UNIFIED
1.0,76.0,76.0,84.6,0.8,0.8,1.0,1,Kompeten,60200125042,E,UNIFIED
1.0,90.0,90.0,17.8,1.0,1.0,0.2,1,Kompeten,60200125045,E,UNIFIED
1.0,89.0,89.0,82.0,1.0,1.0,1.0,1,Kompeten,60200125069,E,UNIFIED
1.0,91.8,91.8,35.2,1.0,1.0,0.4,1,Kompeten,60200125070,E,UNIFIED
1.0,89.4,89.4,93.4,1.0,1.0,1.0,1,Kompeten,60200125091,E,UNIFIED
1.0,79.8,79.8,77.9,1.0,1.0,1.0,0,Belum Kompeten,60200125095,E,UNIFIED
