Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
0.14285714285714285,0.0,0.0,0.0,0,Belum Kompeten,60200122119,A,UNIFIED
0.8571428571428571,85.83333333333333,71.16666666666667,81.42857142857143,1,Kompeten,60200125001,A,UNIFIED
0.7142857142857143,76.33333333333333,55.666666666666664,73.14285714285714,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,85.5,85.5,83.71428571428571,1,Kompeten,60200125007,A,UNIFIED
0.7142857142857143,73.33333333333333,38.333333333333336,86.0,1,Kompeten,60200125016,A,UNIFIED
0.6428571428571429,13.333333333333334,13.333333333333334,21.142857142857142,0,Belum Kompeten,60200125017,A,UNIFIED
0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125018,A,UNIFIED
0.7857142857142857,68.33333333333333,55.0,76.28571428571429,1,Kompeten,60200125031,A,UNIFIED
0.8571428571428571,81.25,81.16666666666667,80.21428571428571,1,Kompeten,60200125032,A,UNIFIED
1.0,85.5,71.33333333333333,88.35714285714286,1,Kompeten,60200125033,A,UNIFIED
0.8571428571428571,82.5,67.33333333333333,81.28571428571429,1,Kompeten,60200125034,A,UNIFIED
0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125047,A,UNIFIED
1.0,87.33333333333333,73.16666666666667,81.07142857142857,1,Kompeten,60200125049,A,UNIFIED
0.8571428571428571,84.5,56.666666666666664,84.07142857142857,1,Kompeten,60200125050,A,UNIFIED
0.5714285714285714,27.5,27.5,21.428571428571427,0,Belum Kompeten,60200125051,A,UNIFIED
1.0,83.83333333333333,83.83333333333333,76.85714285714286,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,81.83333333333333,81.83333333333333,84.0,1,Kompeten,60200125074,A,UNIFIED
0.7857142857142857,82.83333333333333,54.833333333333336,85.07142857142857,1,Kompeten,60200125075,A,UNIFIED
0.2857142857142857,13.333333333333334,13.333333333333334,0.0,0,Belum Kompeten,60200125077,A,UNIFIED
0.8571428571428571,77.16666666666667,70.5,81.0,1,Kompeten,60200125078,A,UNIFIED
0.8571428571428571,77.66666666666667,70.16666666666667,79.28571428571429,1,Kompeten,60200125099,A,UNIFIED
1.0,81.5,80.66666666666667,82.71428571428571,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.66666666666667,85.66666666666667,83.71428571428571,1,Kompeten,60200125101,A,UNIFIED
1.0,81.58333333333333,81.58333333333333,83.42857142857143,1,Kompeten,60200125114,A,UNIFIED
0.7142857142857143,53.833333333333336,53.833333333333336,27.0,0,Belum Kompeten,60200125116,A,UNIFIED
1.0,83.16666666666667,83.16666666666667,83.42857142857143,1,Kompeten,60200125117,A,UNIFIED
0.5,0.0,0.0,9.285714285714286,0,Belum Kompeten,60200125118,A,UNIFIED
0.7142857142857143,57.166666666666664,57.166666666666664,42.42857142857143,1,Kompeten,60200125119,A,UNIFIED
0.8571428571428571,84.83333333333333,70.33333333333333,82.64285714285714,1,Kompeten,60200125120,A,UNIFIED
0.8571428571428571,70.83333333333333,70.83333333333333,54.0,1,Kompeten,60200125121,A,UNIFIED
1.0,82.0,81.16666666666667,82.92857142857143,1,Kompeten,60200125122,A,UNIFIED
0.9285714285714286,74.66666666666667,68.0,81.28571428571429,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,84.83333333333333,84.83333333333333,83.14285714285714,1,Kompeten,60200125151,A,UNIFIED
0.7142857142857143,55.5,55.5,34.07142857142857,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,83.33333333333333,83.33333333333333,89.57142857142857,1,Kompeten,60200125154,A,UNIFIED
0.42857142857142855,14.285714285714286,14.285714285714286,0.0,0,Belum Kompeten,60200125002,B,UNIFIED
0.5714285714285714,26.571428571428573,26.571428571428573,0.0,0,Belum Kompeten,60200125008,B,UNIFIED
1.0,88.71428571428571,88.71428571428571,60.857142857142854,1,Kompeten,60200125009,B,UNIFIED
1.0,92.71428571428571,92.71428571428571,81.42857142857143,1,Kompeten,60200125019,B,UNIFIED
1.0,92.42857142857143,92.42857142857143,82.21428571428571,1,Kompeten,60200125020,B,UNIFIED
1.0,91.14285714285714,91.14285714285714,86.78571428571429,1,Kompeten,60200125021,B,UNIFIED
1.0,80.85714285714286,80.85714285714286,55.214285714285715,1,Kompeten,60200125035,B,UNIFIED
1.0,92.71428571428571,92.71428571428571,52.42857142857143,0,Belum Kompeten,60200125036,B,UNIFIED
