Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
0.8333333333333334,85.83333333333333,71.16666666666667,81.66666666666667,1,Kompeten,60200125001,A,UNIFIED
0.6666666666666666,76.33333333333333,55.666666666666664,74.5,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,85.5,85.5,84.33333333333333,1,Kompeten,60200125007,A,UNIFIED
0.6666666666666666,73.33333333333333,38.333333333333336,87.0,1,Kompeten,60200125016,A,UNIFIED
0.6666666666666666,13.333333333333334,13.333333333333334,13.833333333333334,0,Belum Kompeten,60200125017,A,UNIFIED
0.75,68.33333333333333,55.0,75.66666666666667,1,Kompeten,60200125031,A,UNIFIED
0.8333333333333334,81.25,81.16666666666667,82.75,1,Kompeten,60200125032,A,UNIFIED
1.0,85.5,71.33333333333333,88.08333333333333,1,Kompeten,60200125033,A,UNIFIED
0.8333333333333334,82.5,67.33333333333333,81.5,1,Kompeten,60200125034,A,UNIFIED
1.0,87.33333333333333,73.16666666666667,81.25,1,Kompeten,60200125049,A,UNIFIED
0.8333333333333334,84.5,56.666666666666664,87.25,1,Kompeten,60200125050,A,UNIFIED
0.6666666666666666,27.5,27.5,14.166666666666666,0,Belum Kompeten,60200125051,A,UNIFIED
1.0,83.83333333333333,83.83333333333333,76.33333333333333,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,81.83333333333333,81.83333333333333,84.66666666666667,1,Kompeten,60200125074,A,UNIFIED
0.8333333333333334,82.83333333333333,54.833333333333336,85.91666666666667,1,Kompeten,60200125075,A,UNIFIED
0.3333333333333333,13.333333333333334,13.333333333333334,0.0,0,Belum Kompeten,60200125077,A,UNIFIED
1.0,77.16666666666667,70.5,81.16666666666667,1,Kompeten,60200125078,A,UNIFIED
0.8333333333333334,77.66666666666667,70.16666666666667,76.66666666666667,1,Kompeten,60200125099,A,UNIFIED
1.0,81.5,80.66666666666667,83.16666666666667,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.66666666666667,85.66666666666667,84.33333333333333,1,Kompeten,60200125101,A,UNIFIED
1.0,81.58333333333333,81.58333333333333,84.0,1,Kompeten,60200125114,A,UNIFIED
0.6666666666666666,53.833333333333336,53.833333333333336,20.666666666666668,0,Belum Kompeten,60200125116,A,UNIFIED
1.0,83.16666666666667,83.16666666666667,84.0,1,Kompeten,60200125117,A,UNIFIED
0.5,0.0,0.0,0.0,0,Belum Kompeten,60200125118,A,UNIFIED
0.6666666666666666,57.166666666666664,57.166666666666664,36.166666666666664,1,Kompeten,60200125119,A,UNIFIED
0.8333333333333334,84.83333333333333,70.33333333333333,85.58333333333333,1,Kompeten,60200125120,A,UNIFIED
0.8333333333333334,70.83333333333333,70.83333333333333,49.666666666666664,1,Kompeten,60200125121,A,UNIFIED
1.0,82.0,81.16666666666667,83.41666666666667,1,Kompeten,60200125122,A,UNIFIED
0.9166666666666666,74.66666666666667,68.0,79.83333333333333,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,84.83333333333333,84.83333333333333,83.66666666666667,1,Kompeten,60200125151,A,UNIFIED
0.6666666666666666,55.5,55.5,28.916666666666668,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,83.33333333333333,83.33333333333333,89.5,1,Kompeten,60200125154,A,UNIFIED
0.5,16.666666666666668,16.666666666666668,0.0,0,Belum Kompeten,60200125002,B,UNIFIED
0.6666666666666666,16.666666666666668,16.666666666666668,0.0,0,Belum Kompeten,60200125008,B,UNIFIED
1.0,89.0,89.0,63.916666666666664,1,Kompeten,60200125009,B,UNIFIED
1.0,91.5,91.5,87.83333333333333,1,Kompeten,60200125019,B,UNIFIED
1.0,93.33333333333333,93.33333333333333,88.75,1,Kompeten,60200125020,B,UNIFIED
1.0,91.83333333333333,91.83333333333333,87.16666666666667,1,Kompeten,60200125021,B,UNIFIED
1.0,77.66666666666667,77.66666666666667,57.583333333333336,1,Kompeten,60200125035,B,UNIFIED
1.0,93.66666666666667,93.66666666666667,54.333333333333336,0,Belum Kompeten,60200125036,B,UNIFIED
0.8333333333333334,80.0,80.0,50.166666666666664,1,Kompeten,60200125048,B,UNIFIED
0.6666666666666666,16.666666666666668,16.666666666666668,0.0,1,Kompeten,60200125054,B,UNIFIED
1.0,90.33333333333333,90.33333333333333,65.0,1,Kompeten,60200125055,B,UNIFIED
1.0,89.0,89.0,64.16666666666667,1,Kompeten,60200125056,B,UNIFIED
