Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200122119,A,UNIFIED
1.0,85.4,85.4,79.5,1.0,1.0,1.0,9.2499849849728,1,Kompeten,60200125001,A,UNIFIED
0.8,74.0,49.2,71.5,1.0,0.6,1.0,29.51056308058749,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,85.0,85.0,83.2,1.0,1.0,1.0,5.401234426807759,1,Kompeten,60200125007,A,UNIFIED
0.6,70.2,46.0,86.1,1.0,0.6,1.0,29.456672513295786,1,Kompeten,60200125016,A,UNIFIED
0.7,16.0,16.0,16.6,0.2,0.2,0.2,32.40617225159429,0,Belum Kompeten,60200125017,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125018,A,UNIFIED
0.7,65.2,49.2,72.9,1.0,0.6,1.0,29.910347522034726,1,Kompeten,60200125031,A,UNIFIED
1.0,80.6,80.6,81.1,1.0,1.0,1.0,8.109390989601021,1,Kompeten,60200125032,A,UNIFIED
1.0,85.0,68.0,87.5,1.0,0.8,1.0,21.68307071324437,1,Kompeten,60200125033,A,UNIFIED
0.8,82.6,64.4,79.7,1.0,0.8,1.0,21.968057619087666,1,Kompeten,60200125034,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125047,A,UNIFIED
1.0,87.2,70.2,79.2,1.0,0.8,1.0,22.23470760370422,1,Kompeten,60200125049,A,UNIFIED
1.0,83.8,68.0,86.7,1.0,0.8,1.0,21.418060914408972,1,Kompeten,60200125050,A,UNIFIED
0.8,33.0,33.0,17.0,0.4,0.4,0.2,39.15212496006939,0,Belum Kompeten,60200125051,A,UNIFIED
1.0,83.0,83.0,73.6,1.0,1.0,1.0,9.125909391519414,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,81.8,81.8,83.5,1.0,1.0,1.0,8.297523057448464,1,Kompeten,60200125074,A,UNIFIED
0.8,81.8,65.8,85.0,1.0,0.8,1.0,20.89614531172888,1,Kompeten,60200125075,A,UNIFIED
0.4,16.0,16.0,0.0,0.2,0.2,0.0,27.194770739161513,0,Belum Kompeten,60200125077,A,UNIFIED
1.0,84.6,84.6,79.3,1.0,1.0,1.0,6.58449356864714,1,Kompeten,60200125078,A,UNIFIED
0.8,75.4,67.4,73.7,1.0,0.8,1.0,25.10489106838656,1,Kompeten,60200125099,A,UNIFIED
1.0,80.0,80.0,81.7,1.0,1.0,1.0,7.509697434354832,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.2,85.2,83.1,1.0,1.0,1.0,5.053051883103254,1,Kompeten,60200125101,A,UNIFIED
1.0,81.1,81.1,82.9,1.0,1.0,1.0,7.478413378963927,1,Kompeten,60200125114,A,UNIFIED
0.8,48.6,48.6,24.8,0.6,0.6,0.4,39.38471220607757,0,Belum Kompeten,60200125116,A,UNIFIED
1.0,83.0,83.0,82.3,1.0,1.0,1.0,4.6934943154209625,1,Kompeten,60200125117,A,UNIFIED
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125118,A,UNIFIED
0.6,51.0,51.0,43.4,0.6,0.6,0.6,40.49340138288652,1,Kompeten,60200125119,A,UNIFIED
1.0,85.0,67.6,84.7,1.0,0.8,1.0,21.256528408938276,1,Kompeten,60200125120,A,UNIFIED
0.8,68.2,68.2,59.6,0.8,0.8,0.8,34.29561034431213,1,Kompeten,60200125121,A,UNIFIED
1.0,80.6,80.6,82.1,1.0,1.0,1.0,8.031604239917867,1,Kompeten,60200125122,A,UNIFIED
0.9,73.6,65.6,77.9,1.0,0.8,1.0,22.892842161300596,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,85.0,85.0,82.3,1.0,1.0,1.0,5.263712251507169,1,Kompeten,60200125151,A,UNIFIED
0.8,50.2,50.2,34.7,0.6,0.6,0.4,42.18865039583777,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,82.4,82.4,89.1,1.0,1.0,1.0,6.8810528910108575,1,Kompeten,60200125154,A,UNIFIED
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125002,B,UNIFIED
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125008,B,UNIFIED
1.0,86.8,86.8,68.2,1.0,1.0,1.0,16.000208331977017,1,Kompeten,60200125009,B,UNIFIED
1.0,89.8,89.8,87.8,1.0,1.0,1.0,7.090995855465029,1,Kompeten,60200125019,B,UNIFIED
